showid,moviename,type,rating,year,duration,description
s156,Labyrinth,Movie,5,1986,101 min,In Jim Hensons fantasy teen Sarah embarks on a lifealtering quest to rescue her little brother from the clutches of a treacherous goblin
s157,Letters to Juliet,Movie,5,2010,105 min,By responding to a letter addressed to Shakespeares tragic heroine Juliet Capulet an American woman in Verona Italy is led in search of romance
s158,Level 16,Movie,6,2018,102 min,In a bleak academy that teaches girls the virtues of passivity two students uncover the ghastly purpose behind their training and resolve to escape
s159,Love Dont Cost a Thing,Movie,9,2003,101 min,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend
s160,Love in a Puff,Movie,5,2010,103 min,When the Hong Kong government enacts a ban on smoking cigarettes indoors the new law drives hardcore smokers outside facilitating unlikely connections
s161,Major Dad,TV Show,9,1992,4 Seasons,When he marries a journalist and becomes stepdad to her daughters a US Marine finds his onceorderly life no longer entirely under his command
s162,Mars Attacks,Movie,9,1996,106 min,As flying saucers head for Earth the president of the United States prepares to welcome alien visitors but soon learns theyre not coming in peace
s163,Marshall,Movie,8,2017,118 min,This biopic of Thurgood Marshall the first Black US Supreme Court justice centers on his pivotal work in a sensational case as an NAACP lawyer
s164,My Bosss Daughter,Movie,7,2003,86 min,A young man housesits for his mean boss hoping to use it as an opportunity to win the heart of the bosss daughter on whom hes long had a crush
s165,Mystery Men,Movie,9,1999,121 min,A team of farfromsuper heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears
s166,Oldsters,TV Show,7,2019,1 Season,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system
s167,Once Upon a Time in America,Movie,4,1984,229 min,Director Sergio Leones sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City
s168,Open Season 2,Movie,6,2008,76 min,Elliot the buck and his forestdwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity
s169,Osmosis Jones,Movie,8,2001,95 min,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an outofshape 40yearold man whos the host to various organisms
s170,Poseidon,Movie,4,2006,98 min,A tidal wave spells disaster for a ship of New Years Eve revelers when it capsizes the mammoth vessel sending passengers into a battle for survival
s171,Rhyme & Reason,Movie,4,1997,89 min,The world and culture of rap song topics such as race violence police family and sex are examined by hiphop performers from both coasts
s172,Same Kind of Different as Me,Movie,5,2017,120 min,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story
s173,School of Rock,Movie,8,2003,110 min,Musician Dewey Finn gets a job as a fourthgrade substitute teacher where he secretly begins teaching his students the finer points of rock n roll
s174,Snervous Tyler Oakley,Movie,9,2015,83 min,The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international Slumber Party tour
s175,Tears of the Sun,Movie,7,2003,121 min,A Navy SEAL is sent to a wartorn African jungle to rescue a doctor only to realize he must also save the refugees in the physicians care
s176,The Blue Lagoon,Movie,6,1980,105 min,Two shipwrecked children stranded for years on a deserted island fall in love as teenagers and attempt to forge a life in the isolated paradise
s177,The Golden Child,Movie,8,1986,94 min,A fasttalking LA social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers
s178,The Guns of Navarone,Movie,6,1961,156 min,During World War II British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel
s179,The Interview,Movie,8,2014,112 min,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jongun
s180,The Nutty Professor,Movie,6,1996,95 min,After being made fun of for his weight a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance
s181,The Nutty Professor II The Klumps,Movie,7,2000,107 min,After getting engaged Sherman Klump prepares for his big day But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation
s182,Turning Point 911 and the War on Terror,TV Show,9,2021,1 Season,This unflinching series documents the 911 terrorist attacks from Al Qaedas roots in the 1980s to Americas response both at home and abroad
s183,Welcome Home Roscoe Jenkins,Movie,6,2008,114 min,RJ travels to Georgia for his parents 50th anniversary But after pompously flaunting his Hollywood lifestyle he must examine what hes become
s184,In the Line of Fire,Movie,5,1993,129 min,A twisted yet ingenious killer torments a veteran Secret Service agent whos haunted by his failure years ago to save President John F Kennedy
